EUR/USD,4001
GBP/USD,4002
EUR/GBP,4003
USD/JPY,4004
GBP/JPY,4005
EUR/JPY,4006
AUD/USD,4007
UK 100,100089
Wall Street 30,100091
US SPX 500,100093
US Tech 100,100095
Germany 30,100097
France 40,100099
Europe 50,100101
Japan 225,100105
EUR/CZK,100479
GBP/CZK,100481
USD/CZK,100483
EUR/DKK,100485
GBP/DKK,100487
USD/DKK,100489
EUR/HKD,100491
GBP/HKD,100493
USD/HKD,100495
EUR/HUF,100497
GBP/HUF,100499
USD/HUF,100501
EUR/MXN,100503
GBP/MXN,100505
USD/MXN,100507
EUR/NOK,100509
GBP/NOK,100511
USD/NOK,100513
EUR/NZD,100515
GBP/NZD,100517
EUR/PLN,100519
GBP/PLN,100521
USD/PLN,100523
EUR/SEK,100525
AUD/JPY,4008
CHF/JPY,4009
GBP/SEK,100527
USD/SEK,100529
EUR/SGD,100531
GBP/SGD,100533
USD/SGD,100535
EUR/TRY,100537
GBP/TRY,100539
USD/TRY,100541
EUR/ZAR,100543
GBP/ZAR,100545
USD/ZAR,100547
NOK/SEK,100555
NZD/USD,100613
AUD/NZD,100615
NZD/JPY,100617
AUD/CHF,100619
Gold (Spot),100637
Silver (Spot),100639
AUD/CAD,100667
CAD/JPY,100669
CAD/CHF,100671
NZD/CAD,100673
NZD/CHF,100675
NZD/SGD,100677
EUR/RUB,100679
USD/RUB,100681
US Crude (Spot),100800
XAU/AUD,100803
XAG/AUD,100804
UK Brent (Spot),100805
XPT/USD,100806
XPD/USD,100807
Australia 200,100888
USD/CNH,100892
Hong Kong 50,100904
Spain 35,100906
XAU/EUR,100925
US Natural Gas (Spot),100926
USD/ILS,100927
GLD/CNH,100928
SLV/CNH,100929
EUR/RON,100930
USD/RON,100931
Wall Street 30 (Mini),110091
US SPX 500 (Mini),110093
US Tech 100 (Mini),110095
Germany 30 (Mini),110097
Gold (Spot Mini),110637
Silver (Spot Mini),110639
USD/CHF,4010
EUR/CHF,4011
GBP/CHF,4012
USD/CAD,4013
GBP/CAD,4014
EUR/CAD,4015
EUR/AUD,4016
GBP/AUD,4017
